"Country name","Year","Population","Population of children under the age of 1","Population of children under the age of 5","Population of children under the age of 15","Population under the age of 25","Population aged 15 to 64 years","Population at age 1","Population aged 1 to 4 years","Population aged 5 to 9 years","Population aged 10 to 14 years","Population aged 15 to 19 years","Population aged 20 to 29 years","Population aged 30 to 39 years","Population aged 40 to 49 years","Population aged 50 to 59 years","Population aged 60 to 69 years","Population aged 70 to 79 years","Population aged 80 to 89 years","Population aged 90 to 99 years","Population older than 100 years","population__all__15plus__records","population__all__18plus__records"
"Canada",2015,35732120,382150,1932121,5801622,10299004,24210124,384039,1549971,1968427,1901074,2097126,4834972,4840053,4807738,5387339,4142426,2346242,1200367,266480,7755,29922742,28709242
"Canada",2016,36113532,381875,1939133,5859651,10340242,24332950,385308,1557258,1999480,1921038,2087817,4861667,4900276,4778663,5390028,4273916,2451849,1221861,279588,8216,30245666,29033104
"Canada",2017,36554344,379204,1941216,5912606,10410971,24508766,385135,1562012,2019421,1951969,2092364,4922411,4976431,4775273,5356229,4384975,2588393,1245349,291717,8598,30633142,29424136
"Canada",2018,37035260,375442,1937105,5957842,10496509,24722864,382507,1561663,2030612,1990125,2102953,5005960,5069864,4788425,5303613,4492140,2732096,1270538,302882,8945,31068472,29862954
"Canada",2019,37522584,372926,1929477,5997674,10569950,24935700,378770,1556551,2037638,2030559,2107041,5080374,5177290,4815277,5247382,4605998,2869190,1298916,313968,9474,31515436,30308486
"Canada",2020,37888704,372272,1915697,6012316,10564867,25049438,375729,1543425,2035441,2061178,2080577,5108969,5266511,4848086,5188655,4719796,2999704,1329315,324408,10367,31866020,30657718
"Cape Verde",2015,552169,10461,53101,160456,279078,362441,10410,42640,53987,53368,57845,115409,81259,54923,41317,18432,13174,8243,1070,41,391672,357409
"Cape Verde",2016,558399,10523,52518,159781,277046,369432,10415,41995,54095,53168,56707,116391,84735,55726,43107,20006,12524,8293,1092,37,398581,364932
"Cape Verde",2017,564959,10607,52227,159542,274933,375931,10479,41620,53957,53358,55573,116806,88192,56827,44703,21810,11956,8371,1145,34,405383,372589
"Cape Verde",2018,571209,10320,52056,159164,272436,382060,10566,41736,53498,53610,54489,116813,91515,58304,46080,23753,11491,8370,1198,32,412013,380051
"Cape Verde",2019,577037,10002,51615,158462,269641,387978,10281,41613,53119,53728,53514,116481,94730,60134,47253,25755,11204,8237,1238,29,418546,387050
"Cape Verde",2020,582646,9919,51086,157563,266952,393799,9963,41167,52710,53767,52824,115773,97846,62283,48207,27757,11138,7959,1269,27,425056,393563
"Cayman Islands",2015,60935,835,4130,10666,18170,46481,838,3295,3465,3071,3397,8787,12042,11930,7993,3892,1590,554,82,2,50267,48299
"Cayman Islands",2016,62274,832,4188,10803,18367,47438,843,3356,3571,3044,3355,9062,12105,12116,8357,4118,1704,569,83,2,51469,49532
"Cayman Islands",2017,63601,819,4213,10967,18456,48352,842,3394,3707,3047,3260,9303,12217,12274,8740,4337,1833,585,83,2,52632,50751
"Cayman Islands",2018,64904,791,4195,11132,18441,49233,827,3404,3863,3074,3146,9446,12411,12412,9137,4558,1970,606,84,2,53770,51957
"Cayman Islands",2019,66152,747,4117,11279,18339,50069,797,3370,4037,3125,3033,9445,12685,12568,9518,4787,2115,638,83,1,54872,53117
"Cayman Islands",2020,67327,682,3956,11371,18147,50880,749,3274,4203,3212,2935,9308,13033,12739,9891,5015,2276,674,84,1,55955,54235
"Central African Republic",2015,4819341,187869,893776,2349570,3338563,2365019,181581,705907,778800,676994,564897,742812,432923,308155,234397,132320,44187,9714,365,1,2469770,2114501
"Central African Republic",2016,4904182,188624,896962,2388175,3408915,2406068,180383,708338,798507,692706,582929,761620,438791,303978,235096,137266,45978,9957,391,1,2516006,2149404
"Central African Republic",2017,4996741,193786,903161,2430334,3484134,2451011,181405,709375,817614,709559,600352,783370,445741,300555,235674,142128,47912,10247,427,1,2566406,2189794
"Central African Republic",2018,5094795,199301,914166,2475058,3562918,2498721,186587,714865,834108,726784,617463,807440,453067,297736,236177,146914,49890,10582,467,1,2619736,2234033
"Central African Republic",2019,5209329,204569,930960,2523063,3648929,2559349,192294,726391,847038,745065,635198,839041,462791,296979,237027,151147,52574,10995,513,1,2686265,2290978
"Central African Republic",2020,5343024,210659,955518,2575786,3743119,2634787,197872,744859,855184,765084,653230,879114,476263,298847,237827,154180,55820,11385,571,1,2767237,2361218
"Chad",2015,14140277,612053,2786446,6837256,9559299,7015678,578256,2174393,2244833,1805977,1498857,2205977,1494243,1031499,599201,305904,133069,32199,2038,34,7302987,6369335
"Chad",2016,14592587,621881,2857482,7054294,9867538,7242409,592943,2235601,2320622,1876190,1548930,2283665,1524833,1068564,623983,318388,135281,32629,1996,24,7538269,6575489
"Chad",2017,15085893,632014,2924936,7275309,10189570,7504768,603877,2292922,2398599,1951774,1599675,2379093,1566907,1108089,651028,332615,137782,33289,2082,24,7810560,6816624
"Chad",2018,15604213,646437,2992688,7502304,10517754,7785176,614824,2346251,2478135,2031481,1652325,2478051,1619113,1147790,679569,348292,140503,34044,2191,31,8101878,7076007
"Chad",2019,16126868,664892,3063708,7731413,10854541,8067277,629562,2398816,2558461,2109244,1708886,2572500,1674831,1185022,708748,365853,142587,34751,2242,35,8395420,7333807
"Chad",2020,16644707,683506,3137952,7958952,11198479,8347425,648168,2454446,2637019,2183981,1772422,2661022,1730845,1219171,737696,381882,145490,34993,2202,32,8685723,7580366
"Chile",2015,17870122,236883,1199831,3569434,6326647,12328426,239138,962948,1186932,1182671,1303725,2903589,2642114,2486247,2148143,1499272,826108,415413,74594,1482,14299205,13537911
"Chile",2016,18083880,232369,1192863,3566612,6294011,12467155,237867,960494,1202118,1171631,1281691,2928764,2687085,2505251,2192682,1560766,852026,424656,82548,1798,14515469,13767544
"Chile",2017,18368582,226583,1184571,3566764,6286761,12668845,234441,957988,1214702,1167491,1271069,2972518,2754877,2532801,2237439,1622224,884581,433120,91009,2180,14799638,14056730
"Chile",2018,18701452,224016,1175915,3572469,6297219,12909544,229412,951899,1223327,1173227,1265983,3024819,2840276,2566271,2283734,1680532,924291,441035,99397,2645,15126338,14385058
"Chile",2019,19039484,225571,1167620,3584463,6307302,13146405,226953,942049,1228897,1187946,1259266,3066729,2933750,2601842,2328628,1736623,968481,449589,106925,3188,15451833,14715542
"Chile",2020,19300318,227587,1158118,3593501,6288961,13314433,227589,930531,1230314,1205069,1245134,3069282,3017506,2633481,2366952,1789193,1013943,457064,110720,3543,15703275,14978013
